high,low,climate,windspeed,year,month,day,temp
19,6,1,2,1,3,12,12.5
15,7,2,2,1,3,13,11.0
16,8,1,2,1,3,14,12.0
17,10,1,1,1,3,15,13.5
16,11,1,1,1,3,16,13.5
14,12,3,2,1,3,17,13.0
15,9,2,2,1,3,18,12.0
14,9,2,2,1,3,19,11.5
20,9,1,1,1,3,20,14.5
19,8,1,1,1,3,21,13.5
16,7,1,3,1,3,22,11.5
15,6,1,1,1,3,23,10.5
17,7,1,2,1,3,24,12.0
15,6,1,2,1,3,25,10.5
16,9,2,2,1,3,26,12.5
20,7,1,2,1,3,27,13.5
23,10,1,1,1,3,28,16.5
20,14,2,2,1,3,29,17.0
26,16,1,2,1,3,30,21.0
23,17,1,2,1,3,31,20.0
25,14,1,3,1,4,1,19.5
19,11,1,3,1,4,2,15.0
14,10,3,2,1,4,3,12.0
13,10,2,1,1,4,4,11.5
11,7,1,3,1,4,5,9.0
7,4,2,3,1,4,6,5.5
12,2,1,1,1,4,7,7.0
15,3,1,2,1,4,8,9.0
17,6,1,1,1,4,9,11.5
19,7,1,2,1,4,10,13.0
21,9,3,2,1,4,11,15.0
13,7,3,3,1,4,12,10.0
19,6,1,3,1,4,13,12.5
23,10,1,3,1,4,14,16.5
21,13,1,2,1,4,15,17.0
22,10,1,3,1,4,16,16.0
26,15,1,3,1,4,17,20.5
24,16,3,2,1,4,18,20.0
17,10,2,3,1,4,19,13.5
20,8,1,1,1,4,20,14.0
24,8,1,1,1,4,21,16.0
26,12,1,2,1,4,22,19.0
27,13,1,1,1,4,23,20.0
27,13,1,1,1,4,24,20.0
28,14,1,1,1,4,25,21.0
28,15,1,3,1,4,26,21.5
29,18,3,1,1,4,27,23.5
22,17,3,2,1,4,28,19.5
25,14,1,1,1,4,29,19.5
27,14,1,1,1,4,30,20.5
20,16,3,1,1,5,1,18.0
25,15,1,2,1,5,2,20.0
24,15,1,1,1,5,3,19.5
24,12,1,2,1,5,4,18.0
23,15,1,2,1,5,5,19.0
27,16,1,1,1,5,6,21.5
27,17,1,2,1,5,7,22.0
26,15,1,2,1,5,8,20.5
26,15,1,2,1,5,9,20.5
26,15,1,2,1,5,10,20.5
26,15,1,2,1,5,11,20.5
26,15,1,2,1,5,12,20.5
29,20,1,2,1,5,13,24.5
31,22,1,2,1,5,14,26.5
25,16,1,2,1,5,15,20.5
24,15,1,2,1,5,16,19.5
26,18,3,2,1,5,17,22.0
25,17,2,2,1,5,18,21.0
29,19,1,2,1,5,19,24.0
27,15,1,2,1,5,20,21.0
25,15,1,2,1,5,21,20.0
28,18,1,2,1,5,22,23.0
26,18,1,2,1,5,23,22.0
27,19,1,2,1,5,24,23.0
29,19,1,2,1,5,25,24.0
27,20,1,2,1,5,26,23.5
22,17,2,2,1,5,27,19.5
27,20,1,2,1,5,28,23.5
23,20,3,2,1,5,29,21.5
26,19,1,2,1,5,30,22.5
27,19,1,2,1,5,31,23.0
31,23,3,2,1,6,1,27.0
25,19,1,2,1,6,2,22.0
26,16,1,2,1,6,3,21.0
26,19,1,2,1,6,4,22.5
28,19,1,2,1,6,5,23.5
32,21,1,2,1,6,6,26.5
27,21,3,2,1,6,7,24.0
27,20,1,2,1,6,8,23.5
29,22,1,2,1,6,9,25.5
28,21,1,2,1,6,10,24.5
33,22,1,2,1,6,11,27.5
34,23,1,2,1,6,12,28.5
33,25,1,2,1,6,13,29.0
32,23,1,2,1,6,14,27.5
28,21,3,2,1,6,15,24.5
21,18,3,2,1,6,16,19.5
22,18,2,2,1,6,17,20.0
28,19,1,2,1,6,18,23.5
29,21,1,2,1,6,19,25.0
30,21,1,2,1,6,20,25.5
26,21,2,2,1,6,21,23.5
26,21,1,2,1,6,22,23.5
25,23,2,2,1,6,23,24.0
26,22,2,2,1,6,24,24.0
30,23,1,2,1,6,25,26.5
26,21,3,2,1,6,26,23.5
23,19,1,2,1,6,27,21.0
24,21,3,2,1,6,28,22.5
24,21,3,2,1,6,29,22.5
27,21,3,2,1,6,30,24.0
29,21,1,2,1,7,1,25.0
32,23,1,2,1,7,2,27.5
30,21,1,2,1,7,3,25.5
28,19,1,2,1,7,4,23.5
28,19,1,2,1,7,5,23.5
22,18,3,2,1,7,6,20.0
24,19,3,2,1,7,7,21.5
24,20,2,2,1,7,8,22.0
27,22,1,2,1,7,9,24.5
31,24,2,2,1,7,10,27.5
27,23,3,2,1,7,11,25.0
29,23,1,2,1,7,12,26.0
35,25,1,2,1,7,13,30.0
35,25,1,2,1,7,14,30.0
32,24,1,2,1,7,15,28.0
29,23,3,2,1,7,16,26.0
25,22,1,2,1,7,17,23.5
27,23,3,2,1,7,18,25.0
26,24,3,2,1,7,19,25.0
28,24,1,2,1,7,20,26.0
30,24,1,2,1,7,21,27.0
31,25,1,2,1,7,22,28.0
31,25,3,2,1,7,23,28.0
28,24,1,2,1,7,24,26.0
29,25,2,2,1,7,25,27.0
32,26,3,2,1,7,26,29.0
35,27,1,2,1,7,27,31.0
36,27,1,2,1,7,28,31.5
37,28,1,2,1,7,29,32.5
35,27,1,2,1,7,30,31.0
35,27,1,2,1,7,31,31.0
35,27,1,2,1,8,1,31.0
37,28,1,2,1,8,2,32.5
37,28,1,2,1,8,3,32.5
37,28,1,2,1,8,4,32.5
37,28,1,2,1,8,5,32.5
35,26,1,2,1,8,6,30.5
34,26,1,2,1,8,7,30.0
33,26,3,2,1,8,8,29.5
30,25,3,2,1,8,9,27.5
28,24,1,2,1,8,10,26.0
28,23,1,2,1,8,11,25.5
31,23,1,2,1,8,12,27.0
30,23,1,2,1,8,13,26.5
32,23,1,2,1,8,14,27.5
30,24,1,2,1,8,15,27.0
30,23,1,2,1,8,16,26.5
31,24,1,2,1,8,17,27.5
30,23,1,2,1,8,18,26.5
30,24,3,2,1,8,19,27.0
26,23,2,2,1,8,20,24.5
29,23,1,2,1,8,21,26.0
28,21,1,2,1,8,22,24.5
28,21,1,2,1,8,23,24.5
24,20,1,2,1,8,24,22.0
29,21,1,2,1,8,25,25.0
30,22,1,2,1,8,26,26.0
30,22,2,2,1,8,27,26.0
30,22,1,2,1,8,28,26.0
31,22,1,2,1,8,29,26.5
31,22,1,2,1,8,30,26.5
30,22,1,2,1,8,31,26.0
29,22,3,2,1,9,1,25.5
30,22,1,2,1,9,2,26.0
29,22,1,2,1,9,3,25.5
30,23,1,2,1,9,4,26.5
28,22,1,2,1,9,5,25.0
28,21,1,2,1,9,6,24.5
28,21,1,2,1,9,7,24.5
28,20,1,2,1,9,8,24.0
28,19,1,2,1,9,9,23.5
28,20,1,2,1,9,10,24.0
27,20,2,2,1,9,11,23.5
24,16,1,2,1,9,12,20.0
25,17,1,2,1,9,13,21.0
26,20,1,2,1,9,14,23.0
26,18,1,2,1,9,15,22.0
27,18,1,2,1,9,16,22.5
26,18,1,2,1,9,17,22.0
27,19,1,2,1,9,18,23.0
28,20,1,2,1,9,19,24.0
26,19,1,2,1,9,20,22.5
27,20,1,2,1,9,21,23.5
26,21,2,2,1,9,22,23.5
26,19,1,2,1,9,23,22.5
26,20,2,2,1,9,24,23.0
27,19,1,2,1,9,25,23.0
28,18,1,2,1,9,26,23.0
27,18,1,2,1,9,27,22.5
27,20,2,2,1,9,28,23.5
25,21,2,2,1,9,29,23.0
26,19,3,2,1,9,30,22.5
23,14,1,2,1,10,1,18.5
24,15,1,2,1,10,2,19.5
25,17,1,2,1,10,3,21.0
25,19,2,2,1,10,4,22.0
23,18,1,2,1,10,5,20.5
24,19,2,2,1,10,6,21.5
22,18,2,2,1,10,7,20.0
19,15,1,2,1,10,8,17.0
22,12,1,2,1,10,9,17.0
23,10,1,2,1,10,10,16.5
20,10,1,2,1,10,11,15.0
22,11,1,2,1,10,12,16.5
24,13,1,2,1,10,13,18.5
24,13,1,2,1,10,14,18.5
25,14,1,2,1,10,15,19.5
26,15,1,2,1,10,16,20.5
26,14,1,2,1,10,17,20.0
25,14,1,2,1,10,18,19.5
24,15,1,2,1,10,19,19.5
25,16,1,2,1,10,20,20.5
25,16,1,2,1,10,21,20.5
25,16,1,2,1,10,22,20.5
25,17,1,2,1,10,23,21.0
25,17,1,2,1,10,24,21.0
23,16,1,2,1,10,25,19.5
24,14,2,2,1,10,26,19.0
19,11,1,2,1,10,27,15.0
20,12,1,2,1,10,28,16.0
18,12,1,2,1,10,29,15.0
18,10,1,2,1,10,30,14.0
17,11,2,2,1,10,31,14.0
17,8,1,2,1,11,1,12.5
18,8,1,2,1,11,2,13.0
20,11,1,2,1,11,3,15.5
21,14,1,2,1,11,4,17.5
23,16,2,2,1,11,5,19.5
26,19,2,2,1,11,6,22.5
17,12,2,2,1,11,7,14.5
13,9,2,2,1,11,8,11.0
13,8,1,2,1,11,9,10.5
15,9,1,2,1,11,10,12.0
16,10,1,2,1,11,11,13.0
16,13,2,2,1,11,12,14.5
16,12,1,2,1,11,13,14.0
17,10,1,2,1,11,14,13.5
18,11,1,2,1,11,15,14.5
17,13,2,2,1,11,16,15.0
15,12,2,2,1,11,17,13.5
15,11,2,2,1,11,18,13.0
14,11,2,2,1,11,19,12.5
16,11,1,2,1,11,20,13.5
16,13,2,2,1,11,21,14.5
17,14,2,2,1,11,22,15.5
16,10,2,2,1,11,23,13.0
11,3,2,2,1,11,24,7.0
5,0,1,2,1,11,25,2.5
3,-4,1,2,1,11,26,-0.5
5,-2,1,2,1,11,27,1.5
12,3,1,2,1,11,28,7.5
16,6,1,2,1,11,29,11.0
15,5,1,2,1,11,30,10.0
17,10,1,2,1,12,1,13.5
12,3,1,2,1,12,2,7.5
10,0,1,2,1,12,3,5.0
9,2,1,2,1,12,4,5.5
8,4,2,2,1,12,5,6.0
10,2,1,2,1,12,6,6.0
12,3,1,2,1,12,7,7.5
13,6,1,2,1,12,8,9.5
12,8,2,2,1,12,9,10.0
12,7,1,2,1,12,10,9.5
10,1,1,2,1,12,11,5.5
10,2,1,2,1,12,12,6.0
9,3,1,2,1,12,13,6.0
10,4,1,2,1,12,14,7.0
10,0,1,2,1,12,15,5.0
6,-3,1,2,1,12,16,1.5
5,-3,1,2,1,12,17,1.0
6,-2,1,2,1,12,18,2.0
9,2,2,2,1,12,19,5.5
8,2,2,2,1,12,20,5.0
8,0,1,2,1,12,21,4.0
11,6,1,2,1,12,22,8.5
10,7,2,2,1,12,23,8.5
10,4,2,2,1,12,24,7.0
10,2,1,2,1,12,25,6.0
14,4,1,2,1,12,26,9.0
9,1,1,2,1,12,27,5.0
6,-1,1,2,1,12,28,2.5
9,0,1,2,1,12,29,4.5
11,0,1,2,1,12,30,5.5
9,-1,1,2,1,12,31,4.0
11,2,1,2,0,1,1,6.5
15,7,1,2,0,1,2,11.0
16,7,1,2,0,1,3,11.5
13,7,2,2,0,1,4,10.0
10,5,2,2,0,1,5,7.5
8,3,1,2,0,1,6,5.5
6,-1,1,2,0,1,7,2.5
7,-1,1,2,0,1,8,3.0
9,-1,1,2,0,1,9,4.0
10,4,2,2,0,1,10,7.0
8,1,1,2,0,1,11,4.5
3,-3,2,2,0,1,12,0.0
4,-2,1,2,0,1,13,1.0
7,-2,1,2,0,1,14,2.5
8,-2,1,2,0,1,15,3.0
10,1,2,2,0,1,16,5.5
8,0,2,2,0,1,17,4.0
3,-4,1,2,0,1,18,-0.5
3,-4,1,2,0,1,19,-0.5
3,-2,3,2,0,1,20,0.5
2,-2,1,2,0,1,21,0.0
3,-4,2,2,0,1,22,-0.5
-3,-10,1,2,0,1,23,-6.5
-6,-10,1,2,0,1,24,-8.0
2,-8,1,2,0,1,25,-3.0
6,-4,1,2,0,1,26,1.0
8,-1,2,2,0,1,27,3.5
6,3,2,2,0,1,28,4.5
5,1,2,2,0,1,29,3.0
5,-1,1,2,0,1,30,2.0
4,-2,1,2,0,1,31,1.0
2,-5,1,2,0,2,1,-1.5
5,-4,1,2,0,2,2,0.5
7,-3,1,2,0,2,3,2.0
7,-2,1,2,0,2,4,2.5
9,-2,1,2,0,2,5,3.5
7,-3,1,2,0,2,6,2.0
10,-2,1,2,0,2,7,4.0
15,2,1,2,0,2,8,8.5
17,2,1,2,0,2,9,9.5
20,7,1,2,0,2,10,13.5
18,11,3,2,0,2,11,14.5
18,11,2,2,0,2,12,14.5
14,1,2,2,0,2,13,7.5
6,-3,1,2,0,2,14,1.5
7,-2,1,2,0,2,15,2.5
10,0,1,2,0,2,16,5.0
12,2,1,2,0,2,17,7.0
16,3,1,2,0,2,18,9.5
13,3,1,2,0,2,19,8.0
11,-1,1,2,0,2,20,5.0
10,2,1,2,0,2,21,6.0
7,4,2,2,0,2,22,5.5
11,1,1,2,0,2,23,6.0
9,0,1,2,0,2,24,4.5
12,2,1,2,0,2,25,7.0
17,4,1,2,0,2,26,10.5
19,8,1,2,0,2,27,13.5
17,2,1,2,0,2,28,9.5
10,-1,1,2,0,2,29,4.5
13,1,1,2,0,3,1,7.0
16,7,1,2,0,3,2,11.5
16,9,2,2,0,3,3,12.5
19,12,2,2,0,3,4,15.5
21,11,1,2,0,3,5,16.0
19,10,1,2,0,3,6,14.5
16,6,2,2,0,3,7,11.0
9,1,3,2,0,3,8,5.0
7,1,1,2,0,3,9,4.0
8,-1,1,2,0,3,10,3.5
11,1,1,2,0,3,11,6.0
13,4,2,2,0,3,12,8.5
11,4,1,2,0,3,13,7.5
13,3,1,2,0,3,14,8.0
14,4,1,2,0,3,15,9.0
18,6,1,2,0,3,16,12.0
15,9,2,2,0,3,17,12.0
18,11,1,2,0,3,18,14.5
19,7,1,2,0,3,19,13.0
17,6,1,2,0,3,20,11.5
17,6,1,2,0,3,21,11.5
16,9,1,2,0,3,22,12.5
14,4,1,2,0,3,23,9.0
12,3,1,2,0,3,24,7.5
15,3,1,2,0,3,25,9.0
15,5,1,2,0,3,26,10.0
18,7,1,2,0,3,27,12.5
20,9,1,2,0,3,28,14.5
20,13,1,2,0,3,29,16.5
21,12,2,2,0,3,30,16.5
20,10,1,2,0,3,31,15.0
24,14,1,2,0,4,1,19.0
19,13,3,2,0,4,2,16.0
14,9,2,2,0,4,3,11.5
18,10,1,2,0,4,4,14.0
16,11,2,2,0,4,5,13.5
14,12,3,2,0,4,6,13.0
20,10,1,2,0,4,7,15.0
23,13,1,2,0,4,8,18.0
25,13,1,2,0,4,9,19.0
26,11,1,2,0,4,10,18.5
21,12,1,2,0,4,11,16.5
23,14,1,2,0,4,12,18.5
27,16,1,2,0,4,13,21.5
27,15,1,2,0,4,14,21.0
25,16,1,2,0,4,15,20.5
20,12,3,2,0,4,16,16.0
20,11,1,2,0,4,17,15.5
22,12,1,2,0,4,18,17.0
24,15,3,2,0,4,19,19.5
18,14,3,2,0,4,20,16.0
25,15,1,2,0,4,21,20.0
27,16,3,2,0,4,22,21.5
18,13,2,2,0,4,23,15.5
21,13,1,2,0,4,24,17.0
20,13,1,2,0,4,25,16.5
17,12,2,2,0,4,26,14.5
17,11,2,2,0,4,27,14.0
23,12,1,2,0,4,28,17.5
27,15,1,2,0,4,29,21.0
29,17,1,2,0,4,30,23.0
30,20,3,2,0,5,1,25.0
26,16,3,2,0,5,2,21.0
25,14,1,2,0,5,3,19.5
30,20,1,2,0,5,4,25.0
25,20,1,2,0,5,5,22.5
28,17,1,2,0,5,6,22.5
19,15,2,2,0,5,7,17.0
17,13,2,2,0,5,8,15.0
20,15,2,2,0,5,9,17.5
21,13,1,2,0,5,10,17.0
27,16,1,2,0,5,11,21.5
30,16,1,2,0,5,12,23.0
20,15,1,2,0,5,13,17.5
26,16,1,2,0,5,14,21.0
18,13,1,2,0,5,15,15.5
25,13,1,2,0,5,16,19.0
26,14,1,2,0,5,17,20.0
25,14,1,2,0,5,18,19.5
27,17,1,2,0,5,19,22.0
24,17,1,2,0,5,20,20.5
19,16,2,2,0,5,21,17.5
19,15,2,2,0,5,22,17.0
23,17,2,2,0,5,23,20.0
26,17,1,2,0,5,24,21.5
29,21,3,2,0,5,25,25.0
26,20,3,2,0,5,26,23.0
23,19,3,2,0,5,27,21.0
21,19,2,2,0,5,28,20.0
24,17,1,2,0,5,29,20.5
27,20,2,2,0,5,30,23.5
29,21,3,2,0,5,31,25.0
21,16,2,2,0,6,1,18.5
22,18,2,2,0,6,2,20.0
23,18,2,2,0,6,3,20.5
22,16,1,2,0,6,4,19.0
26,18,1,2,0,6,5,22.0
27,19,3,2,0,6,6,23.0
26,21,3,2,0,6,7,23.5
24,19,2,2,0,6,8,21.5
25,19,1,2,0,6,9,22.0
27,22,1,2,0,6,10,24.5
30,23,3,2,0,6,11,26.5
26,20,3,2,0,6,12,23.0
31,22,1,2,0,6,13,26.5
33,25,1,2,0,6,14,29.0
30,22,3,2,0,6,15,26.0
30,20,1,2,0,6,16,25.0
32,23,1,2,0,6,17,27.5
33,25,3,2,0,6,18,29.0
32,25,3,2,0,6,19,28.5
29,25,3,2,0,6,20,27.0
29,24,2,2,0,6,21,26.5
31,25,1,2,0,6,22,28.0
33,27,3,2,0,6,23,30.0
27,21,2,2,0,6,24,24.0
27,20,2,2,0,6,25,23.5
29,21,2,2,0,6,26,25.0
22,19,3,2,0,6,27,20.5
25,21,3,2,0,6,28,23.0
28,22,1,2,0,6,29,25.0
33,25,3,2,0,6,30,29.0
26,23,1,2,0,7,1,24.5
26,22,3,2,0,7,2,24.0
25,22,3,2,0,7,3,23.5
27,22,3,2,0,7,4,24.5
28,23,3,2,0,7,5,25.5
28,25,2,2,0,7,6,26.5
30,24,3,2,0,7,7,27.0
32,24,1,2,0,7,8,28.0
31,24,1,2,0,7,9,27.5
28,24,3,2,0,7,10,26.0
29,24,2,2,0,7,11,26.5
32,26,1,2,0,7,12,29.0
32,26,3,2,0,7,13,29.0
29,26,3,2,0,7,14,27.5
33,22,3,2,0,7,15,27.5
29,22,1,2,0,7,16,25.5
32,24,3,2,0,7,17,28.0
32,26,1,2,0,7,18,29.0
32,26,3,2,0,7,19,29.0
36,28,1,2,0,7,20,32.0
37,29,1,2,0,7,21,33.0
37,29,1,2,0,7,22,33.0
38,30,1,2,0,7,23,34.0
38,30,1,2,0,7,24,34.0
38,29,1,2,0,7,25,33.5
39,30,1,2,0,7,26,34.5
38,30,1,2,0,7,27,34.0
38,29,1,2,0,7,28,33.5
38,30,1,2,0,7,29,34.0
37,28,1,2,0,7,30,32.5
36,27,1,2,0,7,31,31.5
35,27,1,1,0,8,1,31.0
35,27,3,2,0,8,2,31.0
32,25,3,1,0,8,3,28.5
33,26,3,1,0,8,4,29.5
33,26,3,1,0,8,5,29.5
33,26,3,1,0,8,6,29.5
34,26,1,1,0,8,7,30.0
35,26,3,2,0,8,8,30.5
34,27,1,2,0,8,9,30.5
33,27,2,2,0,8,10,30.0
35,27,1,1,0,8,11,31.0
35,27,1,2,0,8,12,31.0
36,28,1,2,0,8,13,32.0
35,27,1,1,0,8,14,31.0
35,27,1,2,0,8,15,31.0
34,26,1,1,0,8,16,30.0
34,26,1,2,0,8,17,30.0
35,28,1,1,0,8,18,31.5
36,28,1,1,0,8,19,32.0
36,27,3,1,0,8,20,31.5
31,26,3,1,0,8,21,28.5
34,27,1,1,0,8,22,30.5
34,24,1,1,0,8,23,29.0
33,23,1,1,0,8,24,28.0
34,25,1,1,0,8,25,29.5
28,23,2,1,0,8,26,25.5
29,20,1,2,0,8,27,24.5
30,19,1,1,0,8,28,24.5
30,21,1,1,0,8,29,25.5
30,21,1,1,0,8,30,25.5
31,22,1,1,0,8,31,26.5
